;Parámetro;Formato;Unidades;Ejemplo;Notas;;;;;;;;;;;;;;;;;;;;;
Identificación;Código identificación;PPPP.ddmmtttTT;;;"Code-128 PPPP: identificación paciente. Números y mayúsculas
dd: día muestra. 2 números
mm: mes muestra. 2 números
ttt: tiempo incubación en horas. 3 números
TT: temperatura incubación. 2 números";;;;;;;;;;;;;;;;;;;;;
Características cámara recuento;Camara Neubauer;;;;;;;;;;;;;;;;;;;;;;;;;
Datos muestra;Tipo de muestra;;;;;;;;;;;;;;;;;;;;;;;;;
Datos muestra;Fecha;dd/mm;;;;;;;;;;;;;;;;;;;;;;;;
Datos muestra;Hora;hh:mm;;;Hora de toma de la muestra si necesario;;;;;;;;;;;;;;;;;;;;;
Datos muestra;Método de dilución;;;;dilución 1/200 con pipeta dilutora;;;;;;;;;;;;;;;;;;;;;
Datos muestra;Tipo de diluyente;;;;;;;;;;;;;;;;;;;;;;;;;
Datos muestra;Volumen de la muestra sembrado.;;ml;;;;;;;;;;;;;;;;;;;;;;;
Datos muestra;Dilución (número);;;;;;;;;;;;;;;;;;;;;;;;;
Datos imagen;ID imagen;;;;;;;;;;;;;;;;;;;;;;;;;
Datos imagen;Extensión imagen;;png, jpeg;;(más habituales);;;;;;;;;;;;;;;;;;;;;
Datos imagen;Color RGB;;0-255;;;;;;;;;;;;;;;;;;;;;;;
Datos imagen;Color HSV;;;;;;;;;;;;;;;;;;;;;;;;;
Datos imagen;Resolución imagen;;megapixeles;;;;;;;;;;;;;;;;;;;;;;;
Datos imagen;Umbral color;;;;;;;;;;;;;;;;;;;;;;;;;
Datos análisis placa;Radio mínimo;;pixel;;;;;;;;;;;;;;;;;;;;;;;
Datos análisis placa;Radio máximo;;pixel;;;;;;;;;;;;;;;;;;;;;;;
Datos análisis placa;Parámetros de procesamiento por determinar;;;;;;;;;;;;;;;;;;;;;;;;;
Resultados;Superficie contada (1 cuadrado);;0,04 mm2;;;;;;;;;;;;;;;;;;;;;;;
Resultados;Superficie contada (5 cuadrados);;0,2 mm2;;;;;;;;;;;;;;;;;;;;;;;
Resultados;Profundidad cámara recuento;;0,1 mm;;;;;;;;;;;;;;;;;;;;;;;
Resultados;Factor dilución;;1/200;;;;;;;;;;;;;;;;;;;;;;;
Resultados;Número eritrocitos recuento cuadrado 1;;;;;;;;;;;;;;;;;;;;;;;;;
Resultados;Número eritrocitos recuento cuadrado 2;;;;;;;;;;;;;;;;;;;;;;;;;
Resultados;Número eritrocitos recuento cuadrado 3;;;;;;;;;;;;;;;;;;;;;;;;;
Resultados;Número eritrocitos recuento cuadrado 4;;;;;;;;;;;;;;;;;;;;;;;;;
Resultados;Número eritrocitos recuento cuadrado 5;;;;;;;;;;;;;;;;;;;;;;;;;
Resultados;Número eritrocitos por muestra;;nº eritrocitos / mm3;;suma número eritrocitos (5 cuadrados) / superfície contada (0,2 mm2) * profundidad cámara (0,1 mm) * factor dilución (1/200);;;;;;;;;;;;;;;;;;;;;
Resultados;Valores referencia mujeres;;4,2 a 5,4 millones de eritrocitos/mm3;;;;;;;;;;;;;;;;;;;;;;;
Resultados;Valores referencia hombres;;4,7 a 6,1 millones de eritrocitos/mm3;;;;;;;;;;;;;;;;;;;;;;;
